https://doi.org/10.1101/19000273|http://medrxiv.org/content/early/2019/06/25/19000273.external-links|Data sharing not applicable to this article as no datasets were generated or analysed during the current study.
https://doi.org/10.1101/19000174|http://medrxiv.org/content/early/2019/06/25/19000174.external-links|All primary data will be made available upon request
https://doi.org/10.1101/19000265|http://medrxiv.org/content/early/2019/06/25/19000265.external-links|Data will be provided as supplemental information with the manuscript upon journal acceptance.
https://doi.org/10.1101/19000166|http://medrxiv.org/content/early/2019/06/25/19000166.external-links|Data will be provided upon request.
https://doi.org/10.1101/19000380||
https://doi.org/10.1101/19000463|http://medrxiv.org/content/early/2019/06/25/19000463.external-links|The dataset will be made available via a publicly accessible repository on journal publication: https://osf.io/4yvp2/.https://osf.io/4yvp2/.
https://doi.org/10.1101/19000687|http://medrxiv.org/content/early/2019/06/25/19000687.external-links|Deanonymized datas available upon request.
https://doi.org/10.1101/19000638|http://medrxiv.org/content/early/2019/06/25/19000638.external-links|Data used in this study are publicly available data. The datasets generated and analyzed during the current study are available from the corresponding author on reasonable request.
https://doi.org/10.1101/19000430|http://medrxiv.org/content/early/2019/06/25/19000430.external-links|The data used in this project is a part of the EPILEPSIAE dataset, which is not publicly available. For this reason, there are no specific paths or identification numbers in the code repository which is publicly available. The code is provided here: https://github.com/ostojanovic/seizure_predictionhttps://github.com/ostojanovic/seizure_prediction
https://doi.org/10.1101/19000356|http://medrxiv.org/content/early/2019/06/25/19000356.external-links|Metabolomic and logistic regression data is listed in the supplemental data.
https://doi.org/10.1101/19000596|http://medrxiv.org/content/early/2019/06/25/19000596.external-links|data is available to researchers upon request
https://doi.org/10.1101/19000133|http://medrxiv.org/content/early/2019/06/26/19000133.external-links|This study used electronic health record data from Duke University Health System. The study was approved by the Duke University Health System Institutional Review Board, which waived the need for informed consent for the use of identifiable patient data.
https://doi.org/10.1101/19000844|http://medrxiv.org/content/early/2019/06/28/19000844.external-links|Primary data are available upon request. Materials (REX3 mice and CXCL9-deficient mice) were obtained through MTAs with Massachusetts General Hospital and the National Institutes of Health.
https://doi.org/10.1101/19000646|http://medrxiv.org/content/early/2019/06/28/19000646.external-links|The data is not publicly available. Enquiries should be directed to the corresponding author.
https://doi.org/10.1101/19000190|http://medrxiv.org/content/early/2019/06/28/19000190.external-links|Not available for public
https://doi.org/10.1101/19000570|http://medrxiv.org/content/early/2019/06/28/19000570.external-links|All data and code for this article will be posted on a public repository when the article is published. We are happy to provide any interested parties with the code and dataset in advance with a written request.
https://doi.org/10.1101/19000554|http://medrxiv.org/content/early/2019/06/28/19000554.external-links|All data referred to or described in the article are public.http://site.telemedicina.ufsc.br/gistelemed/
https://doi.org/10.1101/19001115|http://medrxiv.org/content/early/2019/06/28/19001115.external-links|All analysis code and formatted data are available from the GitHub repository [https://github.com/TimeWz667/AgeingTB]https://github.com/TimeWz667/AgeingTB
https://doi.org/10.1101/19001123|http://medrxiv.org/content/early/2019/06/28/19001123.external-links|The predictor detailed in the manuscript is available in the supplementary Excel file. All other data is available on application to the Generation Scotland Access Committee (access@generationscotland.org)
https://doi.org/10.1101/19001008|http://medrxiv.org/content/early/2019/06/28/19001008.external-links|All relevant data are within the manuscript.
https://doi.org/10.1101/19000786|http://medrxiv.org/content/early/2019/06/28/19000786.external-links|Not applicable
https://doi.org/10.1101/19000661|http://medrxiv.org/content/early/2019/06/28/19000661.external-links|All data generated or analyzed during this study supporting the conclusions of the article are included in this published article and its supplementary information files.
https://doi.org/10.1101/19000521|http://medrxiv.org/content/early/2019/06/28/19000521.external-links|Data are available from publications included in this manuscript
https://doi.org/10.1101/19000919|http://medrxiv.org/content/early/2019/07/02/19000919.external-links|Data are available in a public, open access repository on Github https://github.com/ebmdatalab/Methotrexate/releases/tag/v1.0 and Figshare https://figshare.com/collections/Methotrexate/4542308/1https://github.com/ebmdatalab/Methotrexate/releases/tag/v1.0
https://doi.org/10.1101/19000877|http://medrxiv.org/content/early/2019/07/03/19000877.external-links|Data will be provided upon request to the corresponding author.
https://doi.org/10.1101/19000927|http://medrxiv.org/content/early/2019/07/03/19000927.external-links|The data generated during the study is available from the corresponding author on reasonable request by a qualified individual or third-party, subject to authorization of pertinent regulatory bodies.
https://doi.org/10.1101/19000968|http://medrxiv.org/content/early/2019/07/03/19000968.external-links|All supporting data are accessible on-line via figshare (URL will be converted to a permanent DOI on acceptance of the paper). https://figshare.com/s/0b08de8a740991a7aa22
